time,approved,failed,denied,reversed,refunded,processing,backend_reversed
15h 47,200,,30,69,3,7,7
16h 02,193,,30,68,3,1,10
19h 07,188,,30,3,,,
09h 15,276,,31,,,,
09h 23,307,,31,2,1,,
09h 39,312,,31,,1,,1
10h 07,351,,31,,1,,1
10h 25,348,,31,4,,,
10h 43,335,,31,2,,,
11h 08,356,,31,3,3,,
11h 36,392,,31,5,2,,
12h 04,335,,31,,,,1
12h 30,293,,31,,1,,1
12h 38,273,,31,3,1,,1
13h 03,283,,31,1,,,2
13h 16,308,,31,,1,,
13h 58,307,,31,2,4,,1
14h 20,339,,31,1,2,,
14h 27,340,,31,,1,,1
17h 17,177,,31,87,6,3,13
18h 56,237,,31,3,,,
09h 19,289,,32,1,,,
09h 38,312,,32,5,,,
09h 41,307,,32,2,1,,
11h 10,355,,32,,,,1
12h 20,322,,32,,,,
12h 44,276,,32,1,,,
12h 46,277,,32,1,,,
13h 47,280,,32,1,1,,
14h 24,325,,32,1,,,
16h 05,121,,32,97,4,8,7
16h 08,169,,32,85,3,8,2
18h 48,235,,32,3,2,,
19h 03,209,,32,3,1,,
09h 47,350,,33,3,,,2
09h 49,350,,33,3,,,
10h 02,363,,33,2,1,,2
10h 22,335,,33,,,,1
11h 23,367,,33,1,,,
11h 38,407,,33,,,,
11h 40,397,,33,2,,,2
11h 45,358,,33,2,,,
11h 58,333,,33,2,1,,
12h 07,311,,33,,,,1
13h 25,307,,33,1,1,,
13h 26,282,,33,,2,,1
13h 40,295,,33,2,,,
13h 54,292,,33,,,,
14h 01,310,,33,1,2,,
14h 08,267,,33,1,,,
14h 57,162,2,33,57,2,13,11
16h 01,124,,33,103,6,7,8
16h 03,282,,33,110,7,7,6
16h 21,124,,33,76,2,1,1
19h 02,210,,33,3,1,,
19h 14,214,,33,2,1,,
19h 34,195,,33,1,,,
08h 50,250,,34,1,,,
09h 00,245,,34,,,,2
09h 01,232,,34,4,,,
09h 30,323,,34,4,,,
09h 36,304,,34,4,3,,
10h 17,342,,34,3,,,
10h 41,352,,34,1,,,1
10h 44,338,,34,3,,,1
10h 52,380,,34,1,,,3
10h 54,391,,34,2,,,4
11h 00,375,,34,2,,,1
11h 03,354,,34,1,,,1
11h 06,364,,34,1,1,,
11h 14,353,,34,2,,,
11h 16,330,,34,2,,,1
11h 18,324,,34,4,1,,
11h 30,377,,34,1,,,
11h 42,382,,34,3,,,
11h 48,364,,34,,1,,1
11h 50,390,,34,1,1,,2
12h 14,303,,34,5,,,1
13h 17,310,,34,1,,,
13h 48,288,,34,2,,,
14h 05,308,,34,,,,
14h 15,318,,34,2,1,,
14h 29,346,,34,1,,,1
18h 58,222,,34,3,,,
19h 00,215,,34,3,1,,
